ASKA_name,Ecocyc_name,Keio_name,Synonyms,Accession-2,Left-End-Position,Right-End-Position,Direction,Product,RegulonDB,UniProt,Gene products (polypeptides and RNAs only),"Genes of polypeptide, complex, or RNA",growth (LB),normalized to median growth (LB),growth (M9+amino acids),normalized to median growth (M9+amino acids),COG_0204,COG_1025,EntrezID,COG_1025,COG_1025,
yagN,yagN,yagN,noSyn,ECK0279,295139,295579,-,CP4-6 prophage; protein YagN,b0280,P71297,CP4-6 prophage; protein YagN,yagN,0.413268733,0.913434327,0.291215322,0.962254402,nan,no COG,945349,nan,nan,
zitB,zitB,zitB,ybgR,ECK0741,783882,784823,-,Zn<sup>2+</sup>/Cd<sup>2+</sup>/Ni<sup>2+</sup>/Cu<sup>2+</sup> exporter,b0752,P75757,Zn<sup>2+</sup>/Cd<sup>2+</sup>/Ni<sup>2+</sup>/Cu<sup>2+</sup> exporter,zitB,0.41679412,0.921226373,0.306552964,1.012934134,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,945348,nan,nan,
hcaB,hcaB,hcaB,yfhX // phdD,ECK2538,2671225,2672037,+,"2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase",b2541,P0CI31,"2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase",hcaB,0.442552873,0.978160102,0.289075964,0.955185383,Lipid transport and metabolism,Lipid transport and metabolism,945346,nan,nan,
yfbJ,arnF,yfbJ,yfbJ,ECK2252,2372892,2373278,+,undecaprenyl-phosphate-&alpha;-L-Ara4N flippase - ArnF subunit,b2258,P76474,undecaprenyl-phosphate-&alpha;-L-Ara4N flippase - ArnF subunit,arnF,0.44304209,0.979241402,0.29061702,0.960277451,nan,no COG,945344,nan,nan,
sodC,sodC,sodC,noSyn,ECK1642,1724134,1724655,-,superoxide dismutase (Cu-Zn),b1646,P0AGD1,superoxide dismutase (Cu-Zn),sodC,0.435900822,0.963457291,0.293810426,0.970829332,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,945343,nan,nan,
ymgB,ariR,ymgB,ymgB,ECK1153,1216369,1216635,+,putative two-component system connector protein AriR,nan,P75993,putative two-component system connector protein AriR,ariR,0.439578745,0.971586483,0.282654542,0.933967264,nan,no COG,945340,nan,nan,
ybbO,ybbO,ybbO,noSyn,ECK0487,518340,519149,-,NADP<sup>+</sup>-dependent aldehyde reductase YbbO,b0493,P0AFP4,NADP<sup>+</sup>-dependent aldehyde reductase YbbO,ybbO,0.479924633,1.060761677,0.297894654,0.98432473,General function prediction only,General function prediction only,945337,nan,nan,
sapF,sapF,sapF,noSyn,ECK1285,1351828,1352634,-,putrescine ABC exporter ATP binding protein SapF,b1290,P0AAH8,putrescine ABC exporter ATP binding protein SapF,sapF,0.381760211,0.843792074,0.262599509,0.867699998,Defense mechanisms,Defense mechanisms,945335,nan,nan,
yfbH,arnD,yfbH,pmrJ // yfbH,ECK2249,2370018,2370908,+,putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD,b2256,P76472,putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD,arnD,0.415141629,0.917573928,0.288144334,0.952107027,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,945334,Carbohydrate transport and metabolism,nan,
allR,allR,allR,glxA3 // ybbU,ECK0499,533011,533826,+,DNA-binding transcriptional repressor AllR,b0506,P0ACN4,DNA-binding transcriptional repressor AllR,allR,0.462071884,1.021302332,0.299967349,0.991173473,Transcription,Transcription,945333,nan,nan,
cueR,cueR,cueR,copR // ybbI,ECK0481,513993,514400,+,DNA-binding transcriptional dual regulator CueR,b0487,P0A9G4,DNA-binding transcriptional dual regulator CueR,cueR,0.483812731,1.069355413,0.30570213,1.010122748,Transcription,Transcription,945332,nan,nan,
yagT,paoA,yagT,yagT,ECK0285,301884,302573,-,"aldehyde dehydrogenase, Fe-S subunit",b0286,P77165,"aldehyde dehydrogenase, Fe-S subunit",paoA,0.496608113,1.097636625,0.307416813,1.015788525,Energy production and conversion,Energy production and conversion,945330,nan,nan,
ymfD,ymfD,ymfD,noSyn,ECK1123,1196867,1197532,-,e14 prophage; putative SAM-dependent methyltransferase YmfD,b1137,P75967,e14 prophage; putative SAM-dependent methyltransferase YmfD,ymfD,0.409654869,0.905446721,0.287050594,0.948493014,Coenzyme transport and metabolism,Coenzyme transport and metabolism,945329,nan,nan,
tolR,tolR,tolR,noSyn,ECK0727,775849,776277,+,Tol-Pal system protein TolR,b0738,P0ABV6,Tol-Pal system protein TolR,tolR,0.385972516,0.853102394,0.199849373,0.660356528,"Intracellular trafficking, secretion, and vesicular transport",Intracellular trafficking and secretion and and vesicular transport,945328,nan,nan,
hycC,hycC,hycC,hevC,ECK2718,2847415,2849241,-,formate hydrogenlyase subunit HycC,b2723,P16429,formate hydrogenlyase subunit HycC,hycC,0.456966789,1.010018706,0.303738082,1.003632999,Energy production and conversion,Energy production and conversion,945327,Inorganic ion transport and metabolism,nan,
ybgE,ybgE,ybgE,noSyn,ECK0724,774309,774602,+,PF09600 family protein YbgE,b0735,P0AAV0,PF09600 family protein YbgE,ybgE,0.447966792,0.990126308,0.28659347,0.946982553,Function unknown,Function unknown,945326,nan,nan,
ybgD,ybgD,ybgD,noSyn,ECK0708,752229,752795,-,putative fimbrial protein YbgD,b0719,P37909,putative fimbrial protein YbgD,ybgD,0.417519978,0.922830715,0.283348956,0.936261797,Cell motility,Cell motility,945325,nan,nan,
gltA,gltA,gltA,gluT // icdB,ECK0709,753185,754468,-,citrate synthase,b0720,P0ABH7,citrate synthase,gltA,0.423669616,0.936423058,0.235445436,0.777975574,Energy production and conversion,Energy production and conversion,945323,nan,nan,
sdhD,sdhD,sdhD,cybS // dhsD,ECK0711,755560,755907,+,"succinate:quinone oxidoreductase, membrane protein SdhD",b0722,P0AC44,"succinate:quinone oxidoreductase, membrane protein SdhD",sdhD,0.440612395,0.973871125,0.312736512,1.033366252,Energy production and conversion,Energy production and conversion,945322,nan,nan,
abrB,abrB,abrB,ybgN,ECK0704,746723,747769,-,putative regulator,b0715,P75747,putative regulator,abrB,0.424301009,0.937818605,0.299414328,0.989346144,General function prediction only,General function prediction only,945321,nan,nan,
yejG,yejG,yejG,noSyn,ECK2175,2277893,2278237,-,protein YejG,b2181,P0AD21,protein YejG,yejG,0.429539868,0.949397882,0.289065101,0.955149492,nan,no COG,945319,nan,nan,
ybgL,pxpA,ybgL,ybgL,ECK0702,745165,745899,+,5-oxoprolinase component A,b0713,P75746,5-oxoprolinase component A,pxpA,0.444699942,0.982905696,0.305706556,1.010137371,Amino acid transport and metabolism,Amino acid transport and metabolism,945318,nan,nan,
ybgK,pxpC,ybgK,ybgK,ECK0701,744243,745175,+,5-oxoprolinase component C,b0712,P75745,5-oxoprolinase component C,pxpC,0.455402044,1.006560202,0.305032262,1.00790932,Amino acid transport and metabolism,Amino acid transport and metabolism,945317,nan,nan,
sdhC,sdhC,sdhC,cybL // cybA // dhsC,ECK0710,755177,755566,+,"succinate:quinone oxidoreductase, membrane protein SdhC",b0721,P69054,"succinate:quinone oxidoreductase, membrane protein SdhC",sdhC,0.463666638,1.024827164,0.319606435,1.05606634,Energy production and conversion,Energy production and conversion,945316,nan,nan,
sucD,sucD,sucD,noSyn,ECK0717,764180,765049,+,succinyl-CoA synthetase subunit &alpha;,b0729,P0AGE9,succinyl-CoA synthetase subunit &alpha;,sucD,0.42656347,0.942819247,0.276851363,0.914791989,nan,Energy production and conversion,945314,nan,nan,
ddlA,ddlA,ddlA,noSyn,ECK0376,399829,400923,-,D-alanine&mdash;D-alanine ligase A,b0381,P0A6J8,D-alanine&mdash;D-alanine ligase A,ddlA,0.489461128,1.081839878,0.319098222,1.054387068,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,945313,General function prediction only,nan,
sucC,sucC,sucC,noSyn,ECK0716,763014,764180,+,succinyl-CoA synthetase subunit &beta;,b0728,P0A836,succinyl-CoA synthetase subunit &beta;,sucC,0.430639475,0.951828307,0.269696508,0.891150407,Energy production and conversion,Energy production and conversion,945312,nan,nan,
ybgJ,pxpB,ybgJ,ybgJ,ECK0700,743593,744249,+,5-oxoprolinase component B,b0711,P0AAV4,5-oxoprolinase component B,pxpB,0.411918079,0.910449019,0.29806093,0.984874149,Amino acid transport and metabolism,Amino acid transport and metabolism,945311,nan,nan,
hisJ,hisJ,hisJ,noSyn,ECK2303,2426006,2426788,-,histidine ABC transporter periplasmic binding protein,b2309,P0AEU0,histidine ABC transporter periplasmic binding protein,hisJ,0.452053477,0.999158975,0.285767321,0.94425273,Signal transduction mechanisms,Signal transduction mechanisms,945309,Amino acid transport and metabolism,nan,
yaiP,yaiP,yaiP,noSyn,ECK0360,382739,383935,-,putative glucosyltransferase,b0363,Q47536,putative glucosyltransferase,yaiP,0.469119295,1.036878991,0.320795998,1.059996981,Cell motility,Cell motility,945308,nan,nan,
sucB,sucB,sucB,noSyn,ECK0715,761522,762739,+,SucB-dihydrolipoate // SucB-S-succinyldihydrolipoate // SucB-lipoate // dihydrolipoyltranssuccinylase,b0727,P0AFG6,SucB-dihydrolipoate // SucB-S-succinyldihydrolipoate // SucB-lipoate // dihydrolipoyltranssuccinylase,sucB,0.454307474,1.004140909,0.25961382,0.85783447,Energy production and conversion,Energy production and conversion,945307,nan,nan,
osmE,osmE,osmE,anr,ECK1737,1821918,1822256,-,osmotically-inducible lipoprotein OsmE,b1739,P0ADB1,osmotically-inducible lipoprotein OsmE,osmE,0.423865359,0.936855702,0.285615844,0.943752209,nan,no COG,945305,nan,nan,
yccX,yccX,yccX,noSyn,ECK0959,1030064,1030342,+,acylphosphatase,b0968,P0AB65,acylphosphatase,yccX,0.450348142,0.995389728,0.284545001,0.940213853,Energy production and conversion,Energy production and conversion,945304,nan,nan,
kdpE,kdpE,kdpE,noSyn,ECK0682,721056,721733,-,KdpE-Phosphorylated // DNA-binding transcriptional activator KdpE,b0694,P21866,KdpE-Phosphorylated // DNA-binding transcriptional activator KdpE,kdpE,0.440871771,0.974444415,0.289845799,0.957729128,Transcription,Transcription,945302,Signal transduction mechanisms,nan,
aer,aer,aer,yqjJ // air,ECK3062,3217556,3219076,-,"aerotaxis sensor receptor, flavoprotein",b3072,P50466,"aerotaxis sensor receptor, flavoprotein",aer,0.488251491,1.079166258,0.320308976,1.058387727,Signal transduction mechanisms,Signal transduction mechanisms,945301,nan,nan,
sdhB,sdhB,sdhB,dhsB,ECK0713,757689,758405,+,"succinate:quinone oxidoreductase, iron-sulfur cluster binding protein",b0724,P07014,"succinate:quinone oxidoreductase, iron-sulfur cluster binding protein",sdhB,0.426572553,0.942839324,0.28571069,0.944065607,Energy production and conversion,Energy production and conversion,945300,nan,nan,
hyfE,hyfE,hyfE,noSyn,ECK2481,2606262,2606912,+,hydrogenase 4 component E,b2485,P0AEW1,hydrogenase 4 component E,hyfE,0.459189994,1.014932583,0.307612418,1.016434856,Energy production and conversion,Energy production and conversion,945298,nan,nan,
speF,speF,speF,noSyn,ECK0681,718262,720460,-,inducible ornithine decarboxylase,b0693,P24169,inducible ornithine decarboxylase,speF,0.446968355,0.987919496,0.289418421,0.956316957,Amino acid transport and metabolism,Amino acid transport and metabolism,945297,nan,nan,
ybfM,chiP,ybfM,ybfM,ECK0669,708334,709740,+,chitobiose outer membrane channel,b0681,P75733,chitobiose outer membrane channel,chiP,0.449463715,0.993434908,0.300610892,0.993299917,nan,no COG,945296,nan,nan,
fur,fur,fur,noSyn,ECK0671,710200,710646,-,DNA-binding transcriptional dual regulator Fur,b0683,P0A9A9,DNA-binding transcriptional dual regulator Fur,fur,0.404795158,0.894705462,0.239033999,0.789833162,Inorganic ion transport and metabolism,Inorganic ion transport and metabolism,945295,nan,nan,
nagE,nagE,nagE,pstN // ptsN,ECK0667,703944,705890,+,N-acetylglucosamine-specific PTS enzyme IIABC component,b0679,P09323,N-acetylglucosamine-specific PTS enzyme IIABC component,nagE,0.459567709,1.015767435,0.300634917,0.993379301,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,945292,nan,nan,
ptsN,ptsN,ptsN,yhbI // rpoP,ECK3193,3346578,3347069,+,PtsN-phosphorylated // phosphotransferase system enzyme IIA(Ntr),b3204,P69829,PtsN-phosphorylated // phosphotransferase system enzyme IIA(Ntr),ptsN,0.411047665,0.908525172,0.281522765,0.930227565,Signal transduction mechanisms,Carbohydrate transport and metabolism,945292,nan,nan,
ybfE,ybfE,ybfE,noSyn,ECK0673,711605,711898,-,ribbon-helix-helix domain-containing protein YbfE,b0685,P0AAU7,ribbon-helix-helix domain-containing protein YbfE,ybfE,0.385956623,0.853067266,0.285560072,0.943567923,nan,no COG,945291,nan,nan,
nagB,nagB,nagB,glmD,ECK0666,702811,703611,-,glucosamine-6-phosphate deaminase,b0678,P0A759,glucosamine-6-phosphate deaminase,nagB,0.425707115,0.940926475,0.293393424,0.969451443,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,945290,nan,nan,
nagA,nagA,nagA,noSyn,ECK0665,701603,702751,-,<i>N</i>-acetylglucosamine-6-phosphate deacetylase,b0677,P0AF18,<i>N</i>-acetylglucosamine-6-phosphate deacetylase,nagA,0.384943991,0.850829079,0.354029817,1.169810531,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,945289,nan,nan,
ybfF,ybfF,ybfF,noSyn,ECK0674,712038,712802,-,esterase,b0686,P75736,esterase,ybfF,0.428825705,0.947819391,0.287351938,0.949488734,Coenzyme transport and metabolism,Coenzyme transport and metabolism,945288,General function prediction only,nan,
ybfG,ybfG,ybfG,b0690 // ECK0679 // ybfH,ECK0678,715947,716597,-,PF10964 domain-containing protein YbfG,b0690,P37003,PF10964 domain-containing protein YbfG,ybfG,0.425283432,0.939990021,0.292575388,0.96674843,nan,no COG,945287,nan,nan,
ybfH,ybfG,ybfG,b0690 // ECK0679 // ybfH,ECK0678,715947,716597,-,PF10964 domain-containing protein YbfG,b0690,P37003,PF10964 domain-containing protein YbfG,ybfG,0.433486875,0.958121822,0.313720237,1.036616746,nan,no COG,945287,nan,nan,
nagC,nagC,nagC,nagR,ECK0664,700374,701594,-,DNA-binding transcriptional dual regulator NagC,b0676,P0AF20,DNA-binding transcriptional dual regulator NagC,nagC,nan,nan,nan,0,Transcription,Transcription,945285,Carbohydrate transport and metabolism,nan,
entA,entA,entA,noSyn,ECK0589,628551,629297,+,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",b0596,P15047,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",entA,0.473275363,1.046065012,0.29541399,0.976127942,Lipid transport and metabolism,Lipid transport and metabolism,945284,nan,nan,
nagD,umpH,nagD,nagD,ECK0663,699574,700326,-,UMP phosphatase,b0675,P0AF24,UMP phosphatase,umpH,0.448844292,0.992065818,0.298419638,0.986059417,Nucleotide transport and metabolism,Nucleotide transport and metabolism,945283,nan,nan,
mprA,mprA,mprA,emrR,ECK2678,2810770,2811300,+,DNA-binding transcriptional regulator MprA,b2684,P0ACR9,DNA-binding transcriptional regulator MprA,mprA,0.488773411,1.08031984,0.288437353,0.953075239,Transcription,Transcription,945282,nan,nan,
asnB,asnB,asnB,noSyn,ECK0662,697513,699177,-,asparagine synthetase B,b0674,P22106,asparagine synthetase B,asnB,0.451519655,0.997979086,0.307899224,1.017382541,Amino acid transport and metabolism,Amino acid transport and metabolism,945281,nan,nan,
iscR,iscR,iscR,yfhP,ECK2528,2661643,2662131,-,DNA-binding transcriptional dual regulator IscR,b2531,P0AGK8,DNA-binding transcriptional dual regulator IscR,iscR,0.3903736,0.862829965,0.272374512,0.899999257,Transcription,Transcription,945279,nan,nan,
yahB,yahB,yahB,noSyn,ECK0314,333501,334433,-,putative LysR-type DNA-binding transcriptional regulator YahB,b0316,P77700,putative LysR-type DNA-binding transcriptional regulator YahB,yahB,0.489831814,1.082659194,0.309218091,1.021740434,Transcription,Transcription,945278,nan,nan,
rfbB,rfbB,rfbB,som // rmlB,ECK2035,2111976,2113061,-,"dTDP-glucose 4,6-dehydratase 1",b2041,P37759,"dTDP-glucose 4,6-dehydratase 1",rfbB,0.446863388,0.98768749,0.305773384,1.01035819,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,945276,nan,nan,
yfbF,arnC,yfbF,pmrF // yfbF,ECK2247,2367071,2368039,+,undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,b2254,P77757,undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,arnC,0.418763362,0.925578925,0.291216405,0.962257983,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,945275,nan,nan,
ybfP,ybfP,ybfP,noSyn,ECK0677,715412,715906,+,lipoprotein YbfP,b0689,P75737,lipoprotein YbfP,ybfP,0.44144656,0.975714854,0.29934191,0.989106854,nan,no COG,945274,nan,nan,
erfK,ldtA,erfK,yzzT // yeeG // erfK,ECK1985,2062391,2063323,-,"L,D-transpeptidase LdtA",b1990,P39176,"L,D-transpeptidase LdtA",ldtA,0.435981465,0.963635532,0.29399336,0.971433796,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,945273,nan,nan,
seqA,seqA,seqA,hsm-1,ECK0675,712987,713532,+,negative modulator of initiation of replication,b0687,P0AFY8,negative modulator of initiation of replication,seqA,0.321402399,0.710385181,0.16127122,0.532883849,"Replication, recombination and repair",Replication and recombination and repair,945272,nan,nan,
pgm,pgm,pgm,blu,ECK0676,713558,715198,+,phosphoglucomutase,b0688,P36938,phosphoglucomutase,pgm,0.380762543,0.841586961,0.270871116,0.895031629,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,945271,nan,nan,
ynfF,ynfF,ynfF,noSyn,ECK1583,1660556,1662979,+,putative selenate reductase YnfF,b1588,P77783,putative selenate reductase YnfF,ynfF,0.445039617,0.983656468,0.298195432,0.98531858,Energy production and conversion,Energy production and conversion,945268,nan,nan,
sapC,sapC,sapC,noSyn,ECK1287,1353628,1354518,-,putrescine ABC exporter membrane protein SapC,b1292,P0AGH5,putrescine ABC exporter membrane protein SapC,sapC,0.366821218,0.810772907,0.199587285,0.659490519,Defense mechanisms,Defense mechanisms,945266,nan,nan,
paaI,paaI,paaI,ydbV,ECK1393,1460471,1460893,+,phenylacetyl-CoA thioesterase,b1396,P76084,phenylacetyl-CoA thioesterase,paaI,0.433852009,0.958928867,0.296436989,0.979508207,"Secondary metabolites biosynthesis, transport and catabolism",Secondary metabolites biosynthesis and transport and catabolism,945265,nan,nan,
yqeH,yqeH,yqeH,noSyn,ECK2844,2987536,2988168,+,putative LuxR family transcriptional regulator YqeH,b2846,Q46941,putative LuxR family transcriptional regulator YqeH,yqeH,0.490337575,1.08377706,0.308558558,1.019561158,Transcription,Transcription,945263,nan,nan,
ubiF,ubiF,ubiF,yleB,ECK0654,695101,696276,+,"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase",b0662,P75728,"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase",ubiF,0.346509252,0.765878036,0.246259083,0.813706797,Energy production and conversion,Energy production and conversion,945261,Coenzyme transport and metabolism,nan,
miaB,miaB,miaB,yleA,ECK0653,693531,694955,-,isopentenyl-adenosine A37 tRNA methylthiolase,b0661,P0AEI1,isopentenyl-adenosine A37 tRNA methylthiolase,miaB,0.459340352,1.015264916,0.298065963,0.984890779,"Translation, ribosomal structure and biogenesis",Translation and ribosomal structure and biogenesis,945260,nan,nan,
serA,serA,serA,noSyn,ECK2909,3057178,3058410,-,phosphoglycerate dehydrogenase,b2913,P0A9T0,phosphoglycerate dehydrogenase,serA,0.467863808,1.03410403,0.236939043,0.782910858,Coenzyme transport and metabolism,Coenzyme transport and metabolism,945258,nan,nan,
cmtA,cmtA,cmtA,noSyn,ECK2928,3077471,3078859,-,mannitol-specific PTS enzyme IICB component CmtA,b2933,P69826,mannitol-specific PTS enzyme IICB component CmtA,cmtA,0.474159119,1.048018351,0.300869763,0.994155296,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,945256,nan,nan,
gltL,gltL,gltL,noSyn,ECK0645,684530,685255,-,glutamate/aspartate ABC transporter ATP binding subunit,b0652,P0AAG3,glutamate/aspartate ABC transporter ATP binding subunit,gltL,0.460137688,1.01702724,0.304727858,1.006903488,Amino acid transport and metabolism,Amino acid transport and metabolism,945254,nan,nan,
djlC,djlC,djlC,hscD // ybeV // hsc56,ECK0642,680212,681663,+,co-chaperone DjlC,b0649,P77359,co-chaperone DjlC,djlC,0.458488252,1.013381546,0.303416902,1.002571734,nan,no COG,945253,nan,nan,
ybeL,ybeL,ybeL,noSyn,ECK0636,675018,675500,+,DUF1451 domain-containing protein YbeL,b0643,P0AAT9,DUF1451 domain-containing protein YbeL,ybeL,0.412753649,0.912295854,0.309380426,1.022276835,nan,no COG,945252,nan,nan,
ybeQ,ybeQ,ybeQ,noSyn,ECK0637,675570,676547,-,Sel1 repeat-containing protein YbeQ,b0644,P77234,Sel1 repeat-containing protein YbeQ,ybeQ,0.443918597,0.981178715,0.306474094,1.012673526,General function prediction only,General function prediction only,945251,nan,nan,
fhuC,fhuC,fhuC,noSyn,ECK0150,169778,170575,+,iron(III) hydroxamate ABC transporter ATP binding subunit,b0151,P07821,iron(III) hydroxamate ABC transporter ATP binding subunit,fhuC,0.440745088,0.974164412,0.293525231,0.969886971,Coenzyme transport and metabolism,Coenzyme transport and metabolism,945250,Inorganic ion transport and metabolism,nan,
ygcG,ygcG,ygcG,noSyn,ECK2772,2905711,2906583,+,protein YgcG,b2778,P55140,protein YgcG,ygcG,0.477246165,1.054841547,0.309374937,1.022258696,Function unknown,Function unknown,945247,nan,nan,
cobC,cobC,cobC,phpB,ECK0631,669296,669907,-,putative adenosylcobalamin phosphatase/&alpha;-ribazole phosphatase,b0638,P52086,putative adenosylcobalamin phosphatase/&alpha;-ribazole phosphatase,cobC,0.430613055,0.951769913,0.299904069,0.990964379,Carbohydrate transport and metabolism,Carbohydrate transport and metabolism,945246,nan,nan,
djlB,djlB,djlB,ybeS,ECK0639,677415,678842,+,J domain-containing protein DjlB,b0646,P77381,J domain-containing protein DjlB,djlB,0.470402015,1.039714145,0.299393677,0.989277907,nan,no COG,945245,nan,nan,
ybeU,ybeU,ybeU,noSyn,ECK0641,679508,680215,+,DUF1266 domain-containing protein YbeU,b0648,P77427,DUF1266 domain-containing protein YbeU,ybeU,0.444669975,0.982839461,0.300267235,0.99216438,nan,no COG,945244,nan,nan,
ybeT,ybeT,ybeT,noSyn,ECK0640,678852,679406,-,Sel1 repeat-containing protein YbeT,b0647,P77296,Sel1 repeat-containing protein YbeT,ybeT,0.492112438,1.087699982,0.26241867,0.867102456,General function prediction only,General function prediction only,945243,nan,nan,
ypjB,ypjB,ypjB,noSyn,ECK2646,2783638,2784429,-,DUF5508 domain-containing protein YpjB,b2649,P76612,DUF5508 domain-containing protein YpjB,ypjB,0.474667843,1.049142766,0.31095003,1.027463231,nan,no COG,945242,nan,nan,
rlpA,rlpA,rlpA,noSyn,ECK0626,664102,665190,-,rare lipoprotein RlpA,b0633,P10100,rare lipoprotein RlpA,rlpA,0.446356298,0.986566686,0.303131046,1.001627188,Cell wall/membrane/envelope biogenesis,Cell cycle control and cell division and chromosome partitioning,945241,Cell wall/membrane/envelope biogenesis,nan,
ybeA,rlmH,ybeA,ybeA,ECK0629,668248,668715,-,23S rRNA m<sup>3</sup>&Psi;1915 methyltransferase,b0636,P0A8I8,23S rRNA m<sup>3</sup>&Psi;1915 methyltransferase,rlmH,0.464488133,1.026642887,0.322509067,1.065657424,"Translation, ribosomal structure and biogenesis",Translation and ribosomal structure and biogenesis,945239,nan,nan,
ybeB,rsfS,ybeB,ybeB // rsfA,ECK0630,668719,669036,-,ribosomal silencing factor RsfS,b0637,P0AAT6,ribosomal silencing factor RsfS,rsfS,0.436390402,0.964539393,0.300338393,0.992399505,"Translation, ribosomal structure and biogenesis",Translation and ribosomal structure and biogenesis,945237,nan,nan,
etp,etp,etp,yccY,ECK0973,1044230,1044676,-,phosphotyrosine-protein phosphatase Etp,b0982,P0ACZ2,phosphotyrosine-protein phosphatase Etp,etp,0.425562281,0.940606352,0.295417149,0.976138378,Signal transduction mechanisms,Signal transduction mechanisms,945236,nan,nan,
glf,glf,glf,yefE,ECK2030,2107226,2108329,-,UDP-galactopyranose mutase,b2036,P37747,UDP-galactopyranose mutase,glf,0.455580454,1.006954535,0.311784099,1.030219221,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,945235,nan,nan,
citA,dpiB,citA,ybeP // mpdB // citA,ECK0612,652235,653893,+,DpiB-<i>N</i>-phospho-L-histidine // sensor histidine kinase DpiB,b0619,P77510,DpiB-<i>N</i>-phospho-L-histidine // sensor histidine kinase DpiB,dpiB,0.461661553,1.020395389,0.31513395,1.041288038,Signal transduction mechanisms,Signal transduction mechanisms,945233,nan,nan,
citC,citC,citC,ybeO,ECK0611,650798,651856,-,citrate lyase synthetase,b0618,P77390,citrate lyase synthetase,citC,0.433445676,0.958030762,0.270171476,0.89271983,Energy production and conversion,Energy production and conversion,945231,nan,nan,
citF,citF,citF,ybdV,ECK0608,648039,649571,-,citrate lyase &alpha; subunit,b0615,P75726,citrate lyase &alpha; subunit,citF,0.48831997,1.079317614,0.304597583,1.006473024,Energy production and conversion,Energy production and conversion,945230,nan,nan,
uspG,uspG,uspG,UP12 // yzzU // ybdQ,ECK0601,641439,641867,-,universal stress protein G,b0607,P39177,universal stress protein G,uspG,0.483548062,1.068770421,0.318179101,1.051350043,Signal transduction mechanisms,Signal transduction mechanisms,945229,nan,nan,
tatE,tatE,tatE,ybeC,ECK0620,658947,659150,+,twin arginine protein translocation system - TatE protein,b0627,P0A843,twin arginine protein translocation system - TatE protein,tatE,0.465065531,1.02791909,0.291735866,0.963974424,"Intracellular trafficking, secretion, and vesicular transport",Intracellular trafficking and secretion and and vesicular transport,945228,nan,nan,
purR,purR,purR,noSyn,ECK1654,1737844,1738869,+,DNA-binding transcriptional repressor PurR,b1658,P0ACP7,DNA-binding transcriptional repressor PurR,purR,0.407709998,0.901148036,0.277676172,0.91751738,Transcription,Transcription,945226,nan,nan,
dsbG,dsbG,dsbG,ybdP,ECK0598,637827,638573,-,protein sulfenic acid reductase and chaperone DsbG,b0604,P77202,protein sulfenic acid reductase and chaperone DsbG,dsbG,0.47556693,1.051129988,0.304914674,1.007520778,"Posttranslational modification, protein turnover, chaperones",Posttranslational modification and protein turnover and chaperones,945224,nan,nan,
dacA,dacA,dacA,pfv,ECK0625,662752,663963,-,D-alanyl-D-alanine carboxypeptidase DacA,b0632,P0AEB2,D-alanyl-D-alanine carboxypeptidase DacA,dacA,0.497924786,1.100546823,0.295229842,0.975519468,Cell wall/membrane/envelope biogenesis,Cell wall/membrane/envelope biogenesis,945222,nan,nan,
ybeD,ybeD,ybeD,noSyn,ECK0624,662379,662642,-,DUF493 domain-containing protein YbeD,b0631,P0A8J4,DUF493 domain-containing protein YbeD,ybeD,0.285538413,0.63111619,0.275353839,0.909843764,Signal transduction mechanisms,Signal transduction mechanisms,945220,nan,nan,
ybeF,ybeF,ybeF,noSyn,ECK0622,660425,661378,-,putative LysR-type DNA-binding transcriptional regulator YbeF,b0629,P30979,putative LysR-type DNA-binding transcriptional regulator YbeF,ybeF,0.478339189,1.057257421,0.298246043,0.985485813,Transcription,Transcription,945219,nan,nan,
hscC,hscC,hscC,ybeW,ECK0643,681723,683393,-,chaperone protein HscC,b0650,P77319,chaperone protein HscC,hscC,0.458124097,1.012576667,0.288691551,0.953915181,"Posttranslational modification, protein turnover, chaperones",Posttranslational modification and protein turnover and chaperones,945218,nan,nan,
